,species,Life.form,Habit,Life.span,Physiology,Category,Plant.attributes,temp_opt_min,Temp_Opt_Max,Temp_Abs_Min,Temp_Abs_Max,Rain_Opt_Min,Rain_Opt_Max,Rain_Abs_Min,Rain_Abs_Max,Lat_Opt_Min,Lat_Opt_Max,Lat_Abs_Min,Lat_Abs_Max,Alt_Opt_Min,Alt_Opt_Max,Alt_Abs_Min,Alt_Abs_Max,pH_Opt_Min,pH_Opt_Max,pH_Abs_Min,pH_Abs_Max,Light_Opt_Min,Light_Opt_Max,Light_Abs_Min,Light_Abs_Max,Depth_Opt,Depth_Abs,Texture_Ops,Texture_Abs,Fertility_Ops,Fertility_Abs,Al_Toxicity_Opt,Al_Toxicity_Abs,Salinity_Ops,Salinity_Abs,drainage_opt,drainage_abs,Climate.Zone,photoperiod,Killing.temp..during.rest,Killing.temp..early.growth,Abiotic.toler.,Abiotic.suscept.,Introduction.risks.,Product..system,Cropping.system,Subsystem,Companion.species,Level.of.mechanization,Labour.intensity,cycle_min,cycle_max,use.main,use.detailed,use.part,datasheet_url,temps_pousse
65,Colza,herb,erect,"annual, biennial",,"forage/pasture, vegetables, materials",grown on large scale,15,25,5,41,500,1000,400,2800,-,-,-,-,---,---,-,2000,6.5,7.6,5.5,8,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"medium, light","heavy, medium, light",high,moderate,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),well (dry spells),"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","neutral day (12-14 hours), long day (>14 hours)",-15,-6,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,85,340,food & beverage,protein,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=549,12
206,Soja,herb,erect,annual,,pulses (grain legumes),grown on large scale,20,33,10,38,600,1500,450,1800,-,-,47,52,---,---,-,3000,5.5,6.5,4.5,8.4,very bright,very bright,very bright,clear skies,medium (50-150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light",high,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),no input,no input,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,75,180,food & beverage,protein,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=1150,5
221,Orge,grass,erect,annual,,"cereals & pseudocereals, medicinals & aromatic",grown on large scale,15,20,2,40,500,1000,200,2000,30,-,55,70,---,---,-,4400,6.5,7.5,6,8,very bright,very bright,very bright,cloudy skies,deep (>>150 cm),medium (50-150 cm),medium,"heavy, medium, light",moderate,low,,,low (<4 dS/m),high (>10 dS/m)),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","neutral day (12-14 hours), long day (>14 hours)",-4,0,drought,fire,,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,90,240,food & beverage,starch,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=1232,8
260,Manioc,shrub,erect,perennial,,roots/tubers,grown on large scale,20,29,10,35,1000,1500,500,5000,-,-,25,30,---,---,-,2000,5.5,8,4,9,very bright,very bright,very bright,cloudy skies,medium (50-150 cm),medium (50-150 cm),"medium, light","heavy, medium, light, organic",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours)",7,0,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,180,365,food & beverage,starch,roots,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=1420,7
284,Basilic,herb,erect,annual,single stem,"vegetables, medicinals & aromatic, weed",grown on large scale,18,27,7,36,1000,1600,600,4300,20,-,40,60,---,---,-,-,6,7,4.3,8.2,very bright,very bright,very bright,clear skies,shallow (20-50 cm),shallow (20-50 cm),medium,"heavy, medium, light",high,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",no input,no input,,wind,can become a weed,"home garden, large scale/commercial",Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,80,270,food & beverage,minerals,entire plant,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=1547,6
364,Pomme de terre,herb,erect,annual,multi stem,"roots/tubers, medicinals & aromatic",grown on large scale,15,25,7,30,500,800,250,2000,-,-,20,60,---,---,-,2800,5,6.2,4.2,8.5,very bright,very bright,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, organic","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",-1,0,,,poisonous to man or animals,"home garden, large scale/commercial",Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,90,160,animal food (feed),starch,roots,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=1971,6
391,Cacao,tree,erect,perennial,"semi evergreen, deciduous, single stem","fruits & nuts, medicinals & aromatic",grown on large scale,21,32,10,38,1200,3000,900,7600,-,-,10,20,---,---,-,900,5,6.5,4,8,clear skies,light shade,very bright,heavy shade,deep (>>150 cm),medium (50-150 cm),"heavy, organic","heavy, medium, light",moderate,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",5,0,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,180,365,food & beverage,vitamins,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2074,12
418,Mais,,,,,,,18,33,10,47,600,1200,400,1800,-,-,40,48,---,---,-,4000,5,7,4.5,8.5,very bright,very bright,clear skies,very bright,medium (50-150 cm),shallow (20-50 cm),,,high,low,,,low (<4 dS/m),medium (4-10 dS/m),,,,,no input,no input,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,65,365,food & beverage,vitamins,fruits,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=2175,7
1463,Lavande,"herb, shrub",erect,perennial,,"ornamentals/turf, medicinals & aromatic",grown on small scale,17,26,10,30,600,1000,400,1200,700,200,1000,1500,---,---,-,-,6.5,7,5.8,7.5,very bright,very bright,very bright,clear skies,deep (>>150 cm),shallow (20-50 cm),"medium, light","medium, light",moderate,moderate,,,low (<4 dS/m),low (<4 dS/m),"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)","steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",-10,-5,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,210,365,medicinal,digestive system applications,flowers,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=7175,6
1607,Riz,grass,erect,annual,"multi stem, C3 photosynthesis","cereals & pseudocereals, forage/pasture, materials",grown on large scale,25,35,16,38,1500,2000,1000,4000,-,-,25,25,---,---,-,1200,5,8,3.5,9,very bright,very bright,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"heavy, medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),poorly (saturated >50% of year),poorly (saturated >50% of year),"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),no input,no input,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,80,200,food & beverage,starch,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=8143,6
2001,Blé compact,grass,erect,annual,,"cereals & pseudocereals, forage/pasture",,10,16,4,20,600,900,300,1600,-,-,-,-,---,---,-,-,6.5,7.5,5.5,8.3,very bright,clear skies,very bright,cloudy skies,medium (50-150 cm),shallow (20-50 cm),"medium, light","heavy, medium, light",moderate,low,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),well (dry spells),"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",-3,-1,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,120,180,food & beverage,starch,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=10579,5
2003,Blé dur ,grass,erect,annual,"single stem, C3 photosynthesis",cereals & pseudocereals,grown on large scale,17,25,6,30,500,700,400,800,20,10,40,50,---,---,-,-,6,7,5.5,8.5,very bright,very bright,very bright,clear skies,medium (50-150 cm),medium (50-150 cm),"heavy, medium","heavy, medium",high,moderate,,,low (<4 dS/m),low (<4 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",no input,no input,,,,large scale/commercial,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,120,180,food & beverage,starch,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=10582,5
2281,Sorgho,grass,erect,annual,single stem,"cereals & pseudocereals, forage/pasture, medicinals & aromatic","grown on large scale, grown on small scale",22,35,8,40,400,600,300,700,10,-,30,45,---,---,-,2500,5.5,7.5,5,8,very bright,very bright,clear skies,very bright,medium (50-150 cm),medium (50-150 cm),"heavy, medium",wide,high,low,,,low (<4 dS/m),medium (4-10 dS/m),well (dry spells),"well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),no input,no input,,,,,Cropping system,Subsystem,Companion species,Level of mechanization,Labour intensity,90,300,food & beverage,starch,seeds,http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=48747,4